ADM1_NAME,ADM2_NAME,ADM2_CODE,NDVI_mean,NDVI_stdDev,NDBI_mean,NDBI_stdDev,urban_gradient_mean
Sumatera Selatan,Lahat,73769,0.7549030534040831,0.15754121681009509,-0.30802276564163733,0.09358631292455523,-1.0629192096919748
Sumatera Selatan,Muaraenim,73802,0.7652835014364595,0.1150287003692829,-0.27710148959163017,0.11181341702483177,-1.0423849910280896
Sumatera Selatan,Musibanyuasin,73806,0.7619750898756947,0.14586560818301675,-0.3070108573690752,0.11355414826086035,-1.0689881516898172
Sumatera Selatan,Musirawas,73807,0.7655760252166635,0.171300919568516,-0.3252372953279937,0.10385438460695541,-1.0906836130930844
Bengkulu,Bengkulu Selatan,73653,0.7890453245853232,0.20590317444349657,-0.34951561598692,0.10523867211934981,-1.1385565034690917
Bengkulu,Bengkulu Utara,73654,0.7915890725183908,0.20560181911232078,-0.35353948494656345,0.10789230213513207,-1.1460983506023665
Bengkulu,Kaur,73692,0.8028015034024765,0.15619078211695736,-0.3517619373917977,0.10221585607323999,-1.1551460059530763
Bengkulu,Muko-muko,73804,0.8018866945644526,0.20000288519964796,-0.38540826574930726,0.08983120286631982,-1.1872535406182638
Bengkulu,Seluma,73844,0.7587294244888014,0.21484311959987487,-0.3319975527353296,0.09663221225123513,-1.090726412100141
Kalimantan Selatan,Kota Baru,18114,0.6547253601420258,0.27017556899883316,-0.2833624903186139,0.14237312278934294,-0.9375100698941906
Kalimantan Selatan,Balangan,73635,0.6477093021723387,0.2609574118729535,-0.2462499634977879,0.14027135215645678,-0.8934477850366085
Kalimantan Selatan,Hulusungai Utara,73682,0.567267023955435,0.1535573890515975,-0.13575447880790045,0.12415082327436672,-0.7029906371486375
Kalimantan Selatan,Tanahbumbu,73860,0.6369905819543915,0.2686601334986677,-0.24376339646903544,0.14805973485519788,-0.8804136039717998
Nusatenggara Timur,Manggarai Barat,73788,0.7082260277392027,0.20867235478789609,-0.21540785335004692,0.20741681287603012,-0.9283519439607071
Nusatenggara Timur,Manggarai,73789,0.7688888650194605,0.13065786143122274,-0.2743106859596214,0.13143399796964667,-1.0462102574605214
Sulawesi Tenggara,Kendari,73695,0.6174108821743491,0.26677321329908293,-0.2810088309903069,0.12819374362768277,-0.899007248874066
Sulawesi Tenggara,Konawe Selatan,73704,0.539459567728533,0.262940821518483,-0.2355360768948642,0.12426327879786087,-0.7755306104272217
Sumatera Utara,Dairi,73668,,,,,
Sumatera Utara,Humbang Hasundutan,73683,0.6043675911302624,0.17944725387781366,-0.338960720535763,0.06920229845573447,-0.942922151368667
Sumatera Utara,Nias Selatan,73811,0.662472114177965,0.3140352066272919,-0.31896924482889677,0.2505471509778724,-1.0102672424221113
Sumatera Utara,Nias,73812,0.619142149181705,0.264632096358542,-0.33724531854261625,0.1145119936719167,-0.9584423757398272
Sumatera Utara,Pakpakbharat,73820,0.6773107115409962,0.19598319954358595,-0.36885122537540294,0.07754502294208847,-1.046161936916399
Sumatera Utara,Tapanuli Utara,73866,0.6515093943653734,0.2071420506084917,-0.31815347017144513,0.0904923207459745,-0.9695806235971537
Bangka Belitung,Bangka Barat,73639,0.6833715384837751,0.21425804298007464,-0.29184825777649737,0.14564343559077944,-0.9753908388344869
Bangka Belitung,Bangka Selatan,73640,0.7445519737236832,0.2074480050520603,-0.3414635629877937,0.13108259812170361,-1.086191516513341
Bangka Belitung,Bangka Tengah,73641,0.7040542682683785,0.21714549268451785,-0.30757187472232356,0.1370228867589479,-1.0120418029790423
Bangka Belitung,Bangka,73642,0.6877928397013378,0.22425002521349538,-0.2995264923840372,0.13879440250486427,-0.9874115297245033
Bangka Belitung,Belitung Timur,73648,0.6845924399307803,0.23938614489598573,-0.29889008459128735,0.15543866372117032,-0.9837913077447391
Bangka Belitung,Belitung,73649,0.7044586035409663,0.24873856886704312,-0.3283642165045403,0.15248554480271592,-1.0351057852421104
Gorontalo,Boalemo,73658,0.6461615526870987,0.2279509753877781,-0.2764741783441905,0.16045387903847833,-0.9264842282002803
Gorontalo,Bonebolango,73660,0.63356532230786,0.30194206588414707,-0.3368988368978726,0.1391161193726693,-0.972456947278827
Gorontalo,Gorontalo,73675,0.6865139966268213,0.19355254585939483,-0.293501525467393,0.14679107831265448,-0.9818332178889255
Gorontalo,Pohuwato,73827,0.7014279035861174,0.22725081488106327,-0.3495821909786433,0.12953978083489448,-1.0512219515136192
Papua Barat,Fak-fak,73672,0.2270176379282585,0.2043687958935205,-0.3486129870334697,0.06926904608226035,-0.5752103827078606
Papua Barat,Kaimana,73687,0.5261746883453183,0.35075077807661686,-0.36737803326480883,0.10367943030984655,-0.8932618978190324
Papua Barat,Manokwari,73790,0.6783455036415711,0.2940493886860647,-0.33885620207808487,0.15884067690711054,-1.0306075257409784
Papua Barat,Rajaampat,73833,0.568122279612822,0.3297026332304932,-0.3151469209533533,0.2252372765474233,-0.8944871793102084
Papua Barat,Sorong Selatan,73854,0.7070564125963991,0.23830699459513535,-0.39272913276802796,0.10678515375964322,-1.0994940194896161
Papua Barat,Sorong,73855,0.7463967251831076,0.24177274433281856,-0.3884056542607342,0.11627176264194493,-1.1359211125355129
